№,Заголовок,Посилання,Рейтинг,Автор,Час публікації
1,Building a TB-303 from Scratch (loopmaster.xyz),https://loopmaster.xyz/tutorials/tb303-from-scratch,81 points,stagas,5 hours ago
2,Zig – Type Resolution Redesign and Language Changes (ziglang.org),https://ziglang.org/devlog/2026/#2026-03-10,281 points,Retro_Dev,10 hours ago
3,Create value for others and don’t worry about the returns (geohot.github.io),https://geohot.github.io//blog/jekyll/update/2026/03/11/running-69-agents.html,412 points,ppew,6 hours ago
4,U+237C ⍼ Is Azimuth (ionathan.ch),https://ionathan.ch/2026/02/16/angzarr.html,328 points,cokernel_hacker,13 hours ago
5,Cloudflare crawl endpoint (cloudflare.com),https://developers.cloudflare.com/changelog/post/2026-03-10-br-crawl-endpoint/,335 points,jeffpalmer,13 hours ago
6,Tony Hoare has died (computationalcomplexity.org),https://blog.computationalcomplexity.org/2026/03/tony-hoare-1934-2026.html,1832 points,speckx,21 hours ago
7,"TADA: Fast, Reliable Speech Generation Through Text-Acoustic Synchronization (hume.ai)",https://www.hume.ai/blog/opensource-tada,56 points,smusamashah,6 hours ago
8,Julia Snail – An Emacs Development Environment for Julia Like Clojure's Cider (github.com/gcv),https://github.com/gcv/julia-snail,91 points,TheWiggles,9 hours ago
9,Yann LeCun raises $1B to build AI that understands the physical world (wired.com),https://www.wired.com/story/yann-lecun-raises-dollar1-billion-to-build-ai-that-understands-the-physical-world/,494 points,helloplanets,18 hours ago
10,Agents that run while I sleep (claudecodecamp.com),https://www.claudecodecamp.com/p/i-m-building-agents-that-run-while-i-sleep,346 points,aray07,17 hours ago
11,SSH Secret Menu (twitter.com/rebane2001),https://twitter.com/rebane2001/status/2031037389347406054,244 points,piccirello,13 hours ago
12,RISC-V Is Sloooow (juszkiewicz.com.pl),https://marcin.juszkiewicz.com.pl/2026/03/10/risc-v-is-sloooow/,261 points,todsacerdoti,15 hours ago
13,AutoKernel: Autoresearch for GPU Kernels (github.com/rightnow-ai),https://github.com/RightNow-AI/autokernel,35 points,frozenseven,4 hours ago
14,When the chain becomes the product: Seven years inside a token-funded venture (markmhendrickson.com),https://markmhendrickson.com/posts/when-the-chain-becomes-the-product/,18 points,mhendric,3 hours ago
15,CAP theorem – Partition is a verb (mmudama.github.io),http://mmudama.github.io/posts/2026/cap-partitions/,7 points,mooreds,2 hours ago
16,"Writing my own text editor, and daily-driving it (jsbarretto.com)",https://blog.jsbarretto.com/post/text-editor,125 points,todsacerdoti,10 hours ago
17,Debian decides not to decide on AI-generated contributions (lwn.net),https://lwn.net/SubscriberLink/1061544/125f911834966dd0/,343 points,jwilk,21 hours ago
18,Launch HN: RunAnywhere (YC W26) – Faster AI Inference on Apple Silicon (github.com/runanywhereai),https://github.com/RunanywhereAI/rcli,220 points,sanchitmonga22,18 hours ago
19,Standardizing source maps (bloomberg.github.io),https://bloomberg.github.io/js-blog/post/standardizing-source-maps/,43 points,Timothee,7 hours ago
20,Docs directories are doomed (yagmin.com),https://yagmin.com/blog/your-docs-directory-is-doomed/,12 points,lubujackson,2 hours ago
21,Levels of Agentic Engineering (bassimeledath.com),https://www.bassimeledath.com/blog/levels-of-agentic-engineering,211 points,bombastic311,19 hours ago
22,Universal vaccine against respiratory infections and allergens (stanford.edu),https://med.stanford.edu/news/all-news/2026/02/universal-vaccine.html,279 points,phony-account,13 hours ago
23,Roblox is minting teen millionaires (bloomberg.com),https://www.bloomberg.com/news/articles/2026-03-06/roblox-s-teen-millionaires-are-disrupting-the-gaming-industry,162 points,petethomas,17 hours ago
24,"Mesh over Bluetooth LE, TCP, or Reticulum (github.com/torlando-tech)",https://github.com/torlando-tech/columba,102 points,khimaros,13 hours ago
25,Surpassing vLLM with a Generated Inference Stack (infinity.inc),https://infinity.inc/case-studies/qwen3-optimization,44 points,lukebechtel,10 hours ago
26,FFmpeg-over-IP – Connect to remote FFmpeg servers (github.com/steelbrain),https://github.com/steelbrain/ffmpeg-over-ip,199 points,steelbrain,17 hours ago
27,Pike: To Exit or Not to Exit (tomjohnell.com),https://tomjohnell.com/pike-solving-the-should-we-stop-here-or-gamble-on-the-next-exit-problem/,35 points,dnw,7 hours ago
28,Meta acquires Moltbook (axios.com),https://www.axios.com/2026/03/10/meta-facebook-moltbook-agent-social-network,511 points,mmayberry,21 hours ago
29,Launch HN: Didit (YC W26) – Stripe for Identity Verification,https://news.ycombinator.com/item?id=47324296,72 points,rosasalberto,19 hours ago
30,Google to Provide Pentagon with AI Agents (bloomberg.com),https://www.bloomberg.com/news/articles/2026-03-10/google-to-provide-pentagon-with-ai-agents-for-unclassified-work,51 points,1vuio0pswjnm7,2 hours ago
